Date,Open,High,Low,Close,Volume
10/10/2016,7.7572,7.7591,7.7567,7.7585,0
10/7/2016,7.7565,7.7595,7.7564,7.7583,0
10/6/2016,7.7567,7.7585,7.7559,7.7572,0
10/5/2016,7.7558,7.7579,7.7553,7.7572,0
10/4/2016,7.755,7.7575,7.7545,7.7565,0
10/3/2016,7.7556,7.7568,7.754,7.7557,0
9/30/2016,7.7551,7.7572,7.7521,7.7562,0
9/29/2016,7.7533,7.7561,7.753,7.756,0
9/28/2016,7.7547,7.7559,7.753,7.7537,0
9/27/2016,7.7548,7.7562,7.7536,7.7551,0
9/26/2016,7.7557,7.7569,7.754,7.7553,0
9/23/2016,7.755,7.7584,7.7546,7.7565,0
9/22/2016,7.755,7.7571,7.7541,7.7557,0
9/21/2016,7.7564,7.7576,7.7545,7.7554,0
9/20/2016,7.7571,7.7582,7.7553,7.7571,0
9/19/2016,7.7583,7.7593,7.7566,7.7579,0
9/16/2016,7.758,7.7598,7.7572,7.7587,0
9/15/2016,7.7575,7.7594,7.7569,7.7585,0
9/14/2016,7.7576,7.7592,7.7566,7.7583,0
9/13/2016,7.7572,7.759,7.7565,7.7583,0
9/12/2016,7.7561,7.7591,7.7558,7.758,0
9/9/2016,7.7565,7.7584,7.7546,7.757,0
9/8/2016,7.7552,7.7579,7.7549,7.7571,0
9/7/2016,7.7547,7.7563,7.7542,7.7558,0
9/6/2016,7.7546,7.756,7.7543,7.7553,0
9/5/2016,7.7551,7.7564,7.7543,7.7553,0
9/2/2016,7.7574,7.7584,7.7544,7.7554,0
9/1/2016,7.7564,7.758,7.7557,7.7579,0
8/31/2016,7.7567,7.7586,7.7555,7.7572,0
8/30/2016,7.7557,7.7585,7.7546,7.7575,0
8/29/2016,7.7563,7.7572,7.7548,7.7561,0
8/26/2016,7.7545,7.7573,7.7539,7.7569,0
8/25/2016,7.7529,7.7559,7.7528,7.7554,0
8/24/2016,7.7526,7.7549,7.7525,7.7538,0
8/23/2016,7.7524,7.7547,7.7521,7.7533,0
8/22/2016,7.753,7.755,7.7521,7.7531,0
8/19/2016,7.7527,7.755,7.7524,7.7532,0
8/18/2016,7.7542,7.7554,7.7525,7.7534,0
8/17/2016,7.7533,7.7558,7.753,7.7544,0
8/16/2016,7.755,7.7574,7.7533,7.7539,0
8/15/2016,7.7558,7.7573,7.7549,7.7557,0
8/12/2016,7.7558,7.7569,7.7552,7.7561,0
8/11/2016,7.7557,7.7573,7.7552,7.7565,0
8/10/2016,7.7563,7.7577,7.755,7.7564,0
8/9/2016,7.7562,7.7581,7.7557,7.7566,0
8/8/2016,7.7546,7.7577,7.7546,7.7569,0
8/5/2016,7.7559,7.7571,7.7544,7.7551,0
8/4/2016,7.7581,7.7596,7.7549,7.7565,0
8/3/2016,7.7602,7.7616,7.7567,7.7588,0
8/2/2016,7.7603,7.7619,7.7589,7.7608,0
8/1/2016,7.7571,7.762,7.7569,7.7607,0
7/29/2016,7.7555,7.7619,7.7546,7.7577,0
7/28/2016,7.7567,7.7572,7.755,7.7562,0
7/27/2016,7.7564,7.7576,7.7557,7.7569,0
7/26/2016,7.7561,7.758,7.7556,7.7571,0
7/25/2016,7.7573,7.7581,7.7549,7.7569,0
7/22/2016,7.7555,7.7588,7.7543,7.7577,0
7/21/2016,7.7549,7.7572,7.7547,7.7561,0
7/20/2016,7.7549,7.7567,7.7543,7.7558,0
7/19/2016,7.7536,7.7566,7.7536,7.7557,0
7/18/2016,7.7539,7.756,7.7531,7.7542,0
7/15/2016,7.7529,7.7557,7.7527,7.7542,0
7/14/2016,7.756,7.7568,7.753,7.7537,0
7/13/2016,7.7573,7.7592,7.7549,7.7565,0
7/12/2016,7.7573,7.7595,7.7571,7.7579,0
7/11/2016,7.7571,7.7595,7.7568,7.7579,0
7/8/2016,7.7576,7.7592,7.7564,7.758,0
7/7/2016,7.7573,7.7598,7.757,7.7584,0
7/6/2016,7.7578,7.7604,7.7571,7.758,0
7/5/2016,7.758,7.7598,7.7568,7.7582,0
7/4/2016,7.7578,7.7598,7.7567,7.7583,0
7/1/2016,7.759,7.7607,7.7562,7.7584,0
6/30/2016,7.7589,7.7604,7.756,7.7591,0
6/29/2016,7.758,7.7601,7.757,7.7594,0
6/28/2016,7.7601,7.7623,7.757,7.7588,0
6/27/2016,7.7604,7.7628,7.756,7.7612,0
6/24/2016,7.7566,7.763,7.756,7.7614,0
6/23/2016,7.7582,7.7592,7.7555,7.7572,0
6/22/2016,7.7591,7.7604,7.7563,7.7585,0
6/21/2016,7.76,7.7619,7.7573,7.7599,0
6/20/2016,7.7601,7.7619,7.7585,7.7608,0
6/17/2016,7.7589,7.7624,7.7581,7.7606,0
